0; Соломон; Кириллов; Юрьевич; 29; 168; 51; Москва; Санкт-Петербург
27; Фома; Тихонов; Юрьевич; 56; 166; 56; Москва; Санкт-Петербург
28; Рема; Комиссаров; Юрьевич; 59; 163; 89; Санкт-Петербург; Санкт-Петербург
29; Ермиония; Александров; Михайлович; 18; 174; 86; Санкт-Петербург; Санкт-Петербург
30; Потапий; Беляев; Михайлович; 63; 164; 51; Москва; Санкт-Петербург
31; Изосим; Егоров; Михайлович; 65; 158; 49; Санкт-Петербург; Санкт-Петербург
32; Остромир; Вишняков; Юрьевич; 52; 153; 62; Санкт-Петербург; Москва
33; Эдит; Агафонов; Михайлович; 49; 167; 44; Москва; Санкт-Петербург
34; Симон; Мишин; Юрьевич; 26; 174; 65; Санкт-Петербург; Санкт-Петербург
35; Кондрат; Кулаков; Юрьевич; 28; 157; 58; Москва; Москва
36; Агап; Семёнов; Михайлович; 60; 173; 45; Москва; Санкт-Петербург
37; Дорофей; Аксёнов; Михайлович; 60; 190; 75; Санкт-Петербург; Санкт-Петербург
38; Русана; Лапин; Михайлович; 68; 161; 41; Москва; Москва
39; Памфилий; Князев; Михайлович; 62; 175; 58; Москва; Санкт-Петербург
40; Лота; Киселёв; Юрьевич; 23; 153; 43; Москва; Санкт-Петербург
41; Мисаил; Кабанов; Юрьевич; 49; 157; 54; Москва; Москва
42; Осип; Харитонов; Михайлович; 20; 195; 77; Санкт-Петербург; Москва
43; Изяслав; Селиверстов; Михайлович; 68; 183; 48; Москва; Санкт-Петербург
44; Радмила; Богданов; Михайлович; 25; 170; 72; Санкт-Петербург; Санкт-Петербург
45; Василла; Карпов; Михайлович; 53; 186; 79; Москва; Москва
46; Максима; Лапин; Михайлович; 28; 174; 83; Москва; Москва
47; Натан; Данилов; Михайлович; 31; 187; 65; Москва; Москва
48; Еванфия; Симонов; Юрьевич; 61; 191; 67; Санкт-Петербург; Санкт-Петербург
49; Феодулия; Чернов; Юрьевич; 69; 168; 46; Санкт-Петербург; Санкт-Петербург
50; Клара; Афанасьев; Юрьевич; 25; 169; 68; Москва; Москва
51; Салтам; Лыткин; Юрьевич; 46; 157; 88; Москва; Москва
52; Павлина; Емельянов; Юрьевич; 56; 169; 75; Москва; Санкт-Петербург
53; Андрей; Фёдоров; Юрьевич; 52; 197; 42; Санкт-Петербург; Москва
54; Конрад; Королёв; Михайлович; 57; 150; 65; Москва; Санкт-Петербург
55; Варсоноф; Жданов; Михайлович; 66; 174; 72; Санкт-Петербург; Москва
56; Май; Рогов; Михайлович; 66; 166; 47; Москва; Москва
57; Радомира; Горбачёв; Михайлович; 35; 159; 46; Санкт-Петербург; Москва
58; Галя; Фролов; Юрьевич; 26; 163; 49; Санкт-Петербург; Москва
59; Созонт; Елисеев; Юрьевич; 42; 198; 82; Москва; Москва
60; Светозар; Лукин; Михайлович; 64; 165; 85; Москва; Санкт-Петербург
61; Гемелла; Гурьев; Юрьевич; 45; 190; 49; Москва; Москва
62; Вивиана; Шилов; Юрьевич; 33; 184; 86; Москва; Санкт-Петербург
63; Юлиан; Баранов; Михайлович; 37; 172; 56; Санкт-Петербург; Санкт-Петербург
64; Амелфа; Калашников; Михайлович; 40; 168; 66; Москва; Санкт-Петербург
65; Настасия; Суворов; Юрьевич; 29; 187; 45; Москва; Москва
66; Бронислава; Дорофеев; Юрьевич; 40; 193; 80; Санкт-Петербург; Москва
67; Моника; Ильин; Юрьевич; 54; 177; 65; Москва; Санкт-Петербург
68; Кристина; Павлов; Михайлович; 29; 170; 47; Санкт-Петербург; Санкт-Петербург
69; Яков; Зиновьев; Михайлович; 52; 191; 45; Санкт-Петербург; Санкт-Петербург
70; Флавия; Емельянов; Михайлович; 51; 182; 82; Москва; Санкт-Петербург
71; Вероника; Белоусов; Михайлович; 69; 153; 76; Санкт-Петербург; Москва
72; Леопольд; Емельянов; Юрьевич; 39; 189; 85; Санкт-Петербург; Москва
73; Плакида; Ефимов; Юрьевич; 27; 155; 61; Санкт-Петербург; Москва
74; Марлена; Максимов; Михайлович; 31; 184; 49; Санкт-Петербург; Санкт-Петербург
75; Ефремий; Антонов; Юрьевич; 40; 159; 51; Санкт-Петербург; Санкт-Петербург
76; Феофан; Фадеев; Юрьевич; 45; 178; 80; Москва; Москва
77; Антроп; Калашников; Юрьевич; 68; 157; 56; Москва; Москва
78; Оливия; Денисов; Михайлович; 55; 166; 42; Санкт-Петербург; Санкт-Петербург
79; Аврамий; Меркушев; Юрьевич; 51; 197; 40; Санкт-Петербург; Санкт-Петербург
80; Меркурий; Калинин; Юрьевич; 21; 177; 89; Санкт-Петербург; Москва
81; Селина; Медведев; Юрьевич; 58; 182; 76; Москва; Санкт-Петербург
82; Нимфа; Кудряшов; Юрьевич; 57; 182; 68; Москва; Санкт-Петербург
83; Лада; Одинцов; Юрьевич; 38; 190; 47; Москва; Москва
84; Серафима; Зимин; Михайлович; 27; 154; 65; Москва; Москва
85; Ива; Трофимов; Михайлович; 58; 170; 57; Москва; Санкт-Петербург
86; Нунехия; Панов; Юрьевич; 24; 154; 42; Москва; Москва
87; Януарий; Калашников; Юрьевич; 62; 189; 58; Москва; Санкт-Петербург
88; Дия; Тарасов; Михайлович; 37; 165; 84; Санкт-Петербург; Москва
89; Ария; Цветков; Юрьевич; 51; 191; 59; Санкт-Петербург; Москва
90; Лия; Андреев; Юрьевич; 19; 173; 89; Санкт-Петербург; Санкт-Петербург
91; Марлена; Суханов; Михайлович; 63; 152; 70; Санкт-Петербург; Москва
92; Аникий; Кузьмин; Михайлович; 55; 187; 56; Санкт-Петербург; Санкт-Петербург
93; Феонилла; Буров; Юрьевич; 62; 169; 50; Санкт-Петербург; Санкт-Петербург
94; Бронислав; Волков; Михайлович; 34; 158; 83; Санкт-Петербург; Санкт-Петербург
95; Матрёна; Зыков; Юрьевич; 42; 151; 80; Санкт-Петербург; Москва
96; Созон; Власов; Юрьевич; 58; 181; 56; Москва; Москва
97; Альберта; Давыдов; Юрьевич; 49; 173; 85; Санкт-Петербург; Санкт-Петербург
98; Власий; Одинцов; Михайлович; 39; 164; 83; Москва; Санкт-Петербург
99; Роберт; Шилов; Юрьевич; 67; 197; 89; Москва; Санкт-Петербург
100; Фантина; Щербаков; Юрьевич; 39; 157; 55; Москва; Санкт-Петербург
101; Таисия; Стрелков; Михайлович; 21; 179; 67; Москва; Санкт-Петербург
102; Феонилла; Самойлов; Михайлович; 18; 174; 40; Санкт-Петербург; Москва
103; Нифонт; Романов; Юрьевич; 62; 189; 58; Санкт-Петербург; Санкт-Петербург
104; Новелла; Кошелев; Юрьевич; 29; 159; 67; Санкт-Петербург; Москва
105; Кирилл; Уваров; Михайлович; 35; 184; 53; Москва; Москва
106; Исаакий; Бобров; Михайлович; 44; 192; 70; Санкт-Петербург; Москва
107; Лиана; Носков; Михайлович; 22; 160; 40; Москва; Москва
108; Велимир; Борисов; Михайлович; 64; 174; 86; Москва; Москва
109; Луиза; Кузнецов; Юрьевич; 29; 167; 54; Москва; Москва
110; Митрофаний; Романов; Михайлович; 61; 179; 89; Москва; Москва
111; Аврора; Матвеев; Юрьевич; 39; 195; 79; Москва; Москва
112; Георгий; Поляков; Михайлович; 41; 172; 49; Москва; Москва
113; Флегонт; Медведев; Юрьевич; 40; 178; 65; Москва; Санкт-Петербург
114; Астра; Яковлев; Юрьевич; 37; 156; 51; Санкт-Петербург; Москва
115; Альбертина; Егоров; Юрьевич; 54; 180; 47; Москва; Санкт-Петербург
116; Евтихия; Макаров; Юрьевич; 25; 199; 60; Москва; Санкт-Петербург
117; Мартимьян; Павлов; Михайлович; 56; 152; 67; Санкт-Петербург; Санкт-Петербург
118; Домна; Жуков; Михайлович; 20; 192; 57; Санкт-Петербург; Москва
119; Эмилий; Комиссаров; Юрьевич; 56; 197; 47; Москва; Москва
120; Аза; Белов; Юрьевич; 20; 173; 83; Москва; Санкт-Петербург
121; Вадим; Кузнецов; Михайлович; 63; 199; 51; Москва; Москва
122; Доброгнева; Горбунов; Михайлович; 52; 176; 58; Санкт-Петербург; Москва
123; Ермий; Владимиров; Михайлович; 68; 184; 67; Санкт-Петербург; Москва
124; Флорида; Комиссаров; Юрьевич; 61; 159; 86; Москва; Москва
125; Меркурий; Субботин; Михайлович; 37; 177; 78; Москва; Москва
126; Аделаида; Сафонов; Юрьевич; 59; 167; 55; Москва; Москва
127; Лазарь; Колобов; Михайлович; 68; 170; 51; Москва; Москва
128; Фабиана; Тимофеев; Юрьевич; 27; 180; 86; Москва; Москва
129; Светлана; Волков; Юрьевич; 65; 184; 71; Москва; Москва
130; Андроний; Горшков; Михайлович; 48; 166; 63; Москва; Санкт-Петербург
131; Эвелина; Михеев; Юрьевич; 35; 152; 66; Санкт-Петербург; Санкт-Петербург
132; Фавстина; Мартынов; Юрьевич; 60; 179; 60; Москва; Москва
133; Аделла; Горбунов; Михайлович; 21; 162; 87; Санкт-Петербург; Москва
134; Милана; Фомин; Михайлович; 47; 157; 56; Москва; Москва
135; Ираклий; Смирнов; Михайлович; 55; 179; 85; Санкт-Петербург; Москва
136; Эдита; Субботин; Юрьевич; 56; 150; 65; Санкт-Петербург; Москва
137; Мерона; Соколов; Юрьевич; 27; 171; 51; Москва; Санкт-Петербург
138; Вилен; Зимин; Юрьевич; 38; 196; 56; Москва; Санкт-Петербург
139; Сосипатра; Беляев; Юрьевич; 34; 162; 76; Москва; Санкт-Петербург
140; Феодулия; Фролов; Михайлович; 50; 172; 78; Москва; Санкт-Петербург
141; Варсоноф; Русаков; Юрьевич; 60; 175; 75; Санкт-Петербург; Санкт-Петербург
142; Домна; Степанов; Юрьевич; 33; 196; 48; Москва; Санкт-Петербург
143; Василла; Сергеев; Юрьевич; 28; 160; 47; Санкт-Петербург; Санкт-Петербург
144; Феосевия; Шестаков; Юрьевич; 31; 186; 72; Санкт-Петербург; Москва
145; Исай; Петухов; Юрьевич; 39; 177; 51; Москва; Москва
146; Марка; Максимов; Михайлович; 31; 152; 41; Санкт-Петербург; Санкт-Петербург
147; Аврелиан; Давыдов; Михайлович; 51; 168; 75; Санкт-Петербург; Москва
148; Савелий; Фомичёв; Юрьевич; 22; 150; 59; Санкт-Петербург; Санкт-Петербург
149; Агапия; Матвеев; Михайлович; 46; 177; 85; Москва; Москва
150; Болеслава; Егоров; Юрьевич; 23; 192; 70; Санкт-Петербург; Санкт-Петербург
151; Оливия; Степанов; Михайлович; 61; 157; 48; Москва; Санкт-Петербург
152; Авраамий; Филатов; Юрьевич; 66; 166; 54; Москва; Москва
153; Карп; Соболев; Михайлович; 35; 163; 40; Санкт-Петербург; Москва
154; Агафон; Иванов; Юрьевич; 62; 152; 47; Москва; Москва
155; Ненила; Шарапов; Юрьевич; 59; 193; 83; Санкт-Петербург; Москва
156; Александр; Лапин; Михайлович; 45; 159; 61; Санкт-Петербург; Москва
157; Фавста; Сафонов; Юрьевич; 37; 171; 55; Москва; Москва
158; Агния; Сорокин; Юрьевич; 39; 176; 40; Москва; Санкт-Петербург
159; Венцеслав; Орехов; Михайлович; 49; 174; 80; Санкт-Петербург; Москва
160; Домна; Ковалёв; Михайлович; 29; 197; 54; Москва; Санкт-Петербург
161; Конон; Матвеев; Юрьевич; 28; 171; 89; Санкт-Петербург; Санкт-Петербург
162; Руслан; Кудрявцев; Михайлович; 38; 173; 66; Москва; Санкт-Петербург
163; Варсонофий; Сидоров; Михайлович; 48; 172; 43; Москва; Москва
164; Петронилла; Ермаков; Юрьевич; 59; 189; 62; Санкт-Петербург; Санкт-Петербург
165; Вячеслав; Попов; Михайлович; 29; 184; 66; Москва; Санкт-Петербург
166; Епифаний; Ершов; Юрьевич; 39; 169; 81; Москва; Москва
167; Плакилла; Данилов; Юрьевич; 49; 173; 62; Санкт-Петербург; Санкт-Петербург
168; Милютина; Власов; Юрьевич; 33; 183; 83; Санкт-Петербург; Москва
169; Каллисфен; Сазонов; Михайлович; 54; 175; 64; Санкт-Петербург; Санкт-Петербург
170; Беата; Дьячков; Михайлович; 61; 159; 72; Санкт-Петербург; Москва
171; Диодора; Меркушев; Юрьевич; 33; 162; 54; Москва; Санкт-Петербург
172; Кандида; Бирюков; Юрьевич; 31; 198; 60; Москва; Москва
173; Сильва; Ковалёв; Михайлович; 50; 171; 89; Москва; Санкт-Петербург
174; Варсонофий; Селиверстов; Юрьевич; 34; 162; 71; Москва; Москва
175; Вива; Корнилов; Михайлович; 57; 161; 79; Санкт-Петербург; Москва
176; Ермила; Григорьев; Михайлович; 53; 169; 47; Санкт-Петербург; Санкт-Петербург
177; Венцеслав; Ефимов; Юрьевич; 67; 187; 47; Санкт-Петербург; Москва
178; Филарета; Ситников; Михайлович; 40; 176; 60; Москва; Санкт-Петербург
179; Аста; Красильников; Юрьевич; 22; 196; 48; Санкт-Петербург; Санкт-Петербург
180; Адельфина; Ермаков; Михайлович; 61; 174; 78; Санкт-Петербург; Москва
181; Климент; Третьяков; Михайлович; 48; 176; 71; Санкт-Петербург; Москва
182; Нада; Рябов; Юрьевич; 30; 171; 57; Санкт-Петербург; Москва
183; Бажен; Прохоров; Юрьевич; 66; 190; 73; Санкт-Петербург; Москва
184; Магда; Филиппов; Михайлович; 57; 178; 53; Санкт-Петербург; Москва
185; Зоя; Ковалёв; Юрьевич; 30; 152; 80; Москва; Санкт-Петербург
186; Исаакий; Якушев; Михайлович; 65; 170; 79; Санкт-Петербург; Санкт-Петербург
187; Адолия; Рогов; Юрьевич; 51; 192; 61; Москва; Москва
188; Ярослава; Блохин; Михайлович; 28; 181; 74; Санкт-Петербург; Санкт-Петербург
189; Севастьяна; Павлов; Юрьевич; 56; 155; 73; Санкт-Петербург; Москва
190; Степанида; Ситников; Юрьевич; 29; 199; 55; Москва; Санкт-Петербург
191; Верония; Макаров; Юрьевич; 44; 158; 79; Санкт-Петербург; Санкт-Петербург
192; Митрофан; Жуков; Юрьевич; 42; 171; 60; Москва; Москва
193; Вавила; Сафонов; Михайлович; 50; 178; 54; Москва; Москва
194; Полиевкт; Горбунов; Юрьевич; 46; 190; 68; Москва; Москва
195; Радана; Савин; Михайлович; 24; 194; 80; Москва; Москва
196; Анжелика; Ларионов; Михайлович; 47; 155; 64; Санкт-Петербург; Москва
197; Феодосия; Васильев; Михайлович; 40; 197; 46; Москва; Москва
198; Маргарита; Волков; Михайлович; 60; 159; 40; Санкт-Петербург; Москва
199; Лукьян; Фёдоров; Юрьевич; 64; 185; 48; Санкт-Петербург; Москва
200; Егор; Козлов; Михайлович; 26; 182; 54; Москва; Санкт-Петербург
201; Филофей; Комаров; Михайлович; 28; 191; 85; Санкт-Петербург; Санкт-Петербург
202; Радмила; Федосеев; Михайлович; 27; 186; 44; Санкт-Петербург; Санкт-Петербург
203; Тигрия; Лобанов; Юрьевич; 54; 165; 83; Санкт-Петербург; Санкт-Петербург
204; Радмила; Цветков; Юрьевич; 24; 158; 65; Санкт-Петербург; Санкт-Петербург
205; Матрона; Виноградов; Юрьевич; 19; 164; 56; Москва; Санкт-Петербург
206; Моисей; Григорьев; Михайлович; 20; 183; 86; Москва; Санкт-Петербург
207; Фессалоника; Третьяков; Михайлович; 54; 173; 43; Санкт-Петербург; Москва
208; Порфирий; Владимиров; Михайлович; 26; 180; 50; Санкт-Петербург; Москва
209; Милан; Родионов; Юрьевич; 37; 176; 80; Санкт-Петербург; Москва
210; Карп; Николаев; Михайлович; 68; 183; 44; Москва; Москва
211; Люция; Ковалёв; Юрьевич; 35; 182; 83; Санкт-Петербург; Москва
212; Владилена; Артемьев; Юрьевич; 19; 182; 57; Москва; Москва
213; Виргиния; Калашников; Михайлович; 63; 181; 82; Москва; Санкт-Петербург
214; Соломон; Одинцов; Юрьевич; 20; 161; 54; Санкт-Петербург; Санкт-Петербург
215; Исакий; Мартынов; Михайлович; 25; 153; 57; Москва; Москва
216; Люция; Филатов; Юрьевич; 23; 185; 80; Москва; Москва
217; Бонифат; Буров; Михайлович; 45; 194; 76; Москва; Санкт-Петербург
218; Агния; Баранов; Юрьевич; 46; 186; 69; Санкт-Петербург; Москва
219; Арнольд; Лаврентьев; Михайлович; 46; 166; 47; Санкт-Петербург; Москва
220; Августа; Герасимов; Юрьевич; 31; 163; 54; Москва; Москва
221; Маврикий; Давыдов; Юрьевич; 52; 176; 56; Москва; Санкт-Петербург
222; Бронислав; Соловьёв; Михайлович; 32; 196; 54; Москва; Москва
223; Фервуфа; Жуков; Юрьевич; 23; 151; 57; Москва; Москва
224; Фотиния; Беляков; Юрьевич; 56; 187; 77; Москва; Москва
225; Вонифат; Куликов; Михайлович; 58; 157; 88; Санкт-Петербург; Санкт-Петербург
226; Эмиль; Ильин; Юрьевич; 24; 159; 56; Санкт-Петербург; Санкт-Петербург
227; Натан; Григорьев; Михайлович; 19; 175; 77; Москва; Санкт-Петербург
228; Ким; Баранов; Михайлович; 51; 194; 55; Санкт-Петербург; Москва
229; Валерий; Бобылёв; Юрьевич; 61; 181; 70; Санкт-Петербург; Санкт-Петербург
230; Трифон; Коновалов; Юрьевич; 52; 155; 89; Санкт-Петербург; Санкт-Петербург
231; Франциска; Меркушев; Михайлович; 61; 162; 78; Москва; Москва
232; Протас; Тетерин; Юрьевич; 30; 173; 65; Санкт-Петербург; Санкт-Петербург
233; Филимон; Шилов; Михайлович; 63; 186; 89; Москва; Москва
234; Целестина; Гущин; Михайлович; 33; 167; 85; Москва; Москва
235; Евстолия; Попов; Юрьевич; 51; 151; 47; Москва; Санкт-Петербург
236; Павлина; Ефимов; Юрьевич; 41; 194; 78; Москва; Москва
237; Федул; Крюков; Михайлович; 52; 166; 86; Санкт-Петербург; Санкт-Петербург
238; Франциска; Шашков; Юрьевич; 68; 185; 65; Москва; Москва
239; Досифей; Логинов; Юрьевич; 42; 166; 72; Москва; Москва
240; Варнава; Александров; Юрьевич; 56; 169; 64; Москва; Москва
241; Полиевкт; Тимофеев; Юрьевич; 49; 153; 81; Москва; Москва
242; Каролина; Артемьев; Юрьевич; 66; 171; 70; Санкт-Петербург; Москва
243; Зара; Панфилов; Юрьевич; 32; 175; 75; Москва; Москва
244; Нада; Дорофеев; Юрьевич; 42; 173; 41; Москва; Москва
245; Сосипатр; Лобанов; Юрьевич; 59; 182; 88; Санкт-Петербург; Санкт-Петербург
246; Сатира; Баранов; Юрьевич; 60; 181; 41; Санкт-Петербург; Санкт-Петербург
247; Филофей; Уваров; Михайлович; 63; 164; 63; Санкт-Петербург; Санкт-Петербург
248; Артём; Казаков; Юрьевич; 18; 170; 48; Санкт-Петербург; Санкт-Петербург
249; Нил; Зайцев; Михайлович; 66; 170; 59; Москва; Москва
250; Филофея; Кузьмин; Михайлович; 51; 165; 76; Санкт-Петербург; Москва
251; Романа; Архипов; Михайлович; 53; 176; 61; Москва; Москва
252; Лота; Наумов; Михайлович; 59; 154; 54; Москва; Москва
253; Евангелина; Фомичёв; Юрьевич; 45; 160; 84; Санкт-Петербург; Москва
254; Анатолия; Орлов; Юрьевич; 19; 195; 89; Санкт-Петербург; Санкт-Петербург
255; Виталия; Соболев; Юрьевич; 24; 193; 89; Москва; Москва
256; Максим; Котов; Михайлович; 50; 161; 65; Санкт-Петербург; Москва
257; Исак; Харитонов; Юрьевич; 35; 179; 57; Москва; Санкт-Петербург
258; Антонина; Ширяев; Михайлович; 28; 154; 43; Санкт-Петербург; Санкт-Петербург
259; Кандидий; Субботин; Михайлович; 48; 175; 86; Москва; Санкт-Петербург
260; Федосий; Савин; Михайлович; 68; 153; 48; Санкт-Петербург; Москва
261; Саверий; Фокин; Юрьевич; 57; 175; 78; Санкт-Петербург; Санкт-Петербург
262; Серафима; Белоусов; Юрьевич; 23; 168; 78; Москва; Москва
263; Кама; Брагин; Михайлович; 32; 164; 46; Санкт-Петербург; Санкт-Петербург
264; Досифей; Беляков; Юрьевич; 68; 176; 61; Москва; Санкт-Петербург
265; Прокопий; Овчинников; Юрьевич; 26; 164; 74; Москва; Москва
266; Василий; Гусев; Юрьевич; 52; 191; 57; Санкт-Петербург; Санкт-Петербург
267; Филомена; Кондратьев; Юрьевич; 35; 171; 72; Санкт-Петербург; Санкт-Петербург
268; Веселина; Шашков; Михайлович; 55; 158; 61; Санкт-Петербург; Санкт-Петербург
269; Селивёрст; Воронов; Михайлович; 53; 193; 60; Москва; Москва
270; Клим; Некрасов; Михайлович; 57; 183; 71; Москва; Москва
271; Иоанна; Борисов; Михайлович; 68; 191; 56; Москва; Санкт-Петербург
272; Глеб; Блинов; Михайлович; 29; 154; 67; Москва; Санкт-Петербург
273; Конкордия; Шаров; Юрьевич; 50; 199; 60; Москва; Санкт-Петербург
274; Поликарп; Филатов; Михайлович; 50; 173; 53; Санкт-Петербург; Москва
275; Илария; Соловьёв; Юрьевич; 26; 177; 45; Санкт-Петербург; Санкт-Петербург
276; Иродион; Зиновьев; Юрьевич; 45; 196; 89; Москва; Москва
277; Аксентий; Степанов; Михайлович; 36; 197; 81; Москва; Санкт-Петербург
278; Ефремий; Бобров; Юрьевич; 21; 181; 67; Москва; Москва
279; Заряна; Комиссаров; Юрьевич; 40; 188; 63; Москва; Санкт-Петербург
280; Урсула; Муравьёв; Юрьевич; 23; 188; 84; Москва; Санкт-Петербург
281; Слава; Константинов; Юрьевич; 58; 170; 44; Москва; Санкт-Петербург
282; Александр; Иванов; Михайлович; 57; 167; 59; Санкт-Петербург; Санкт-Петербург
283; Нил; Носов; Юрьевич; 65; 178; 80; Санкт-Петербург; Санкт-Петербург
284; Флоренция; Лебедев; Михайлович; 23; 164; 56; Санкт-Петербург; Санкт-Петербург
285; Вонифат; Алексеев; Юрьевич; 47; 192; 77; Москва; Санкт-Петербург
286; Ириней; Мартынов; Юрьевич; 48; 173; 60; Санкт-Петербург; Санкт-Петербург
287; Эльза; Муравьёв; Михайлович; 66; 187; 63; Санкт-Петербург; Санкт-Петербург
288; Фортуната; Титов; Юрьевич; 56; 174; 89; Санкт-Петербург; Санкт-Петербург
289; Елизавета; Лыткин; Михайлович; 18; 151; 85; Санкт-Петербург; Санкт-Петербург
290; Валерия; Соколов; Михайлович; 20; 155; 89; Санкт-Петербург; Москва
291; Луиза; Самойлов; Михайлович; 56; 177; 62; Санкт-Петербург; Санкт-Петербург
292; Анисим; Воронцов; Михайлович; 39; 175; 70; Москва; Москва
293; Викентия; Евдокимов; Михайлович; 36; 182; 69; Москва; Санкт-Петербург
294; Перегрина; Ильин; Юрьевич; 35; 190; 47; Санкт-Петербург; Санкт-Петербург
295; Яким; Федосеев; Юрьевич; 35; 167; 67; Москва; Санкт-Петербург
296; Никифор; Герасимов; Михайлович; 57; 198; 77; Санкт-Петербург; Санкт-Петербург
297; Мокий; Пономарёв; Михайлович; 21; 178; 84; Москва; Москва
298; Болеслав; Наумов; Михайлович; 27; 163; 60; Москва; Москва
299; Савватия; Щербаков; Юрьевич; 39; 199; 46; Москва; Санкт-Петербург
300; Макар; Журавлёв; Юрьевич; 20; 195; 73; Санкт-Петербург; Москва
301; Евлалия; Шаров; Михайлович; 57; 154; 63; Москва; Москва
302; Фатьян; Шестаков; Юрьевич; 52; 164; 60; Санкт-Петербург; Санкт-Петербург
303; Порфир; Иванов; Юрьевич; 51; 170; 42; Санкт-Петербург; Москва
304; Моисей; Медведев; Юрьевич; 29; 196; 79; Санкт-Петербург; Санкт-Петербург
305; Фиста; Егоров; Михайлович; 58; 187; 53; Москва; Санкт-Петербург
306; Елизавета; Якушев; Юрьевич; 53; 184; 51; Москва; Санкт-Петербург
307; Гурьян; Суханов; Михайлович; 28; 166; 57; Санкт-Петербург; Москва
308; Евфимия; Горбачёв; Юрьевич; 58; 157; 76; Санкт-Петербург; Санкт-Петербург
309; Феопистия; Ершов; Михайлович; 25; 192; 88; Москва; Москва
310; Каллиникия; Логинов; Михайлович; 46; 153; 63; Москва; Москва
311; Донат; Селиверстов; Юрьевич; 58; 151; 52; Санкт-Петербург; Москва
312; Софон; Третьяков; Юрьевич; 54; 154; 82; Москва; Санкт-Петербург
313; Фатьян; Матвеев; Михайлович; 21; 150; 80; Санкт-Петербург; Москва
314; Изосим; Наумов; Юрьевич; 20; 166; 54; Санкт-Петербург; Санкт-Петербург
315; Гурьян; Воронцов; Михайлович; 65; 169; 61; Москва; Санкт-Петербург
316; Ермил; Беспалов; Юрьевич; 62; 178; 60; Москва; Санкт-Петербург
317; Анатолия; Фокин; Михайлович; 35; 182; 86; Санкт-Петербург; Москва
318; Лора; Бобров; Михайлович; 36; 161; 80; Москва; Санкт-Петербург
319; Домнина; Емельянов; Юрьевич; 45; 165; 57; Москва; Москва
320; Секлетея; Тарасов; Михайлович; 66; 176; 71; Санкт-Петербург; Москва
321; Таисия; Лихачёв; Михайлович; 39; 175; 60; Москва; Санкт-Петербург
322; Варламий; Симонов; Юрьевич; 45; 160; 62; Санкт-Петербург; Санкт-Петербург
323; Ефим; Кабанов; Михайлович; 38; 161; 77; Москва; Москва
324; Данил; Блинов; Юрьевич; 34; 174; 63; Москва; Москва
325; Иакинф; Беляков; Юрьевич; 61; 168; 46; Санкт-Петербург; Москва
326; Лия; Никонов; Михайлович; 69; 160; 65; Санкт-Петербург; Санкт-Петербург
327; Лука; Баранов; Юрьевич; 30; 184; 84; Москва; Санкт-Петербург
328; Селиван; Григорьев; Михайлович; 33; 180; 74; Санкт-Петербург; Санкт-Петербург
329; Горгония; Захаров; Михайлович; 69; 166; 75; Санкт-Петербург; Санкт-Петербург
330; Мина; Пономарёв; Михайлович; 52; 199; 54; Санкт-Петербург; Москва
